fid,wb_name_2,countryname_2,city_2,large_2,nl_average_2,innov_index_2
168,Philippines,Philippines,Cebu City,0,22.280802,1.0754716
79,Sierra Leone,SierraLeone,Freetown,0,22.42268,0.64150941
17,Malawi,Malawi,Lilongwe City,0,22.724272,1.5921788
2,Chile,Chile,Santiago,0,24.12241,1.5021645
128,Uganda,Uganda,Kira,0,24.39823,1.9841269
110,Chad,Chad,NDjamena,0,24.895397,0.65693432
4,Peru,Peru,Arequipa,0,25.022243,1.1948051
123,Bangladesh,Bangladesh,Gazipur,0,26.211506,1.3333334
143,Niger,Niger,Niamey,0,26.294846,0.7096774
32,Belarus,Belarus,Minsk,0,26.311047,1.0751879
45,Russian Federation,Russia,Novosibirsk,0,26.335342,0.32386363
7,India,India,Pune,0,26.535599,0.54385966
27,Nicaragua,Nicaragua,Managua,0,26.686468,1.2952381
151,Mexico,Mexico,Puebla,0,26.771725,1.6315789
105,Bulgaria,Bulgaria,Sofia,0,27.382175,0.66666669
120,Burundi,Burundi,Bujumbura,0,28.108696,1.6931819
160,"Gambia, The",Gambia,Kanifing,0,28.719513,0.80882353
93,Serbia,Serbia,Belgrade,0,29.447231,1.0897436
151,Mexico,Mexico,Leon,0,30.261827,1.2204725
133,Colombia,Colombia,Santiago de Cali,0,31.588469,1.6341463
123,Bangladesh,Bangladesh,Khulna,0,31.783504,0.65384614
61,Azerbaijan,Azerbaijan,Baku,0,32.184551,0.32957748
104,Zimbabwe,Zimbabwe,Harare,0,32.628681,1.556797
7,India,India,Jaipur,0,33.358006,2.0231214
54,Cambodia,Cambodia,Phnom Penh,0,33.684444,1.0487804
157,"Yemen, Republic of",Yemen,Sanaa,0,34.100338,0.65648854
7,India,India,Lucknow,0,34.38863,0.89473683
15,Kenya,Kenya,Mombasa,0,35.681808,1.3571428
100,Slovenia,Slovenia,Ljubljana,0,36.331959,1.264151
63,Turkey,Turkey,Ankara,0,36.596344,0.29577464
12,Ethiopia,Ethiopia,Addis Ababa,0,38.02589,0.95137423
118,Mozambique,Mozambique,Maputo,0,38.107063,0.62814069
145,Togo,Togo,Lome,0,38.397758,0.80000001
133,Colombia,Colombia,Medellin,0,39.254227,1.8112583
59,North Macedonia,North Macedonia,Skopje,0,39.69722,0.79146922
63,Turkey,Turkey,Izmir,0,39.744858,0.27173913
157,"Yemen, Republic of",Yemen,Aden,0,40.504864,0.6785714
53,Vietnam,Vietnam,Da Nang,0,40.533333,1.6984127
45,Russian Federation,Russia,Yekaterinburg,0,41.737301,0.69483566
141,Cameroon,Cameroon,Yaounde,0,42.101334,0.70072991
15,Kenya,Kenya,Nairobi,0,42.752743,1.4954545
92,CÃ´te d'Ivoire,Côte d'Ivoire,Abidjan,0,45.607681,0.63265306
25,Morocco,Morocco,Casablanca,0,46.407166,0.54166669
78,Zambia,Zambia,Lusaka,0,46.645081,1.0733334
99,Croatia,Croatia,Zagreb,0,46.784378,0.9194631
73,Slovak Republic,Slovak Republic,Bratislava,0,46.922581,0.3935484
43,Uruguay,Uruguay,Montevideo,0,47.416546,1.540724
